epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.754,1.86766,3.44216,1.86744,0.12761,0.88136,0.49538,0.18861,1.90654,4.67042,2.06383,0.0003625,0.0003625,0.0003625
2,406.564,1.75347,2.74559,1.80033,0.73791,0.40564,0.51382,0.23442,1.84902,3.97818,1.89167,0.000722897,0.000722897,0.000722897
3,639.654,1.69782,2.6013,1.75546,0.55004,0.61864,0.48126,0.19607,1.98752,3.32851,2.08141,0.00106844,0.00106844,0.00106844
4,859.978,1.68026,2.31688,1.73568,0.37895,0.35593,0.35428,0.14255,2.07834,4.91728,2.49588,0.00117575,0.00117575,0.00117575
5,1059.43,1.6987,2.35607,1.78305,0.54976,0.65254,0.58904,0.26664,1.61464,4.81489,1.82709,0.001151,0.001151,0.001151
6,1261.93,1.66142,2.22029,1.72958,0.52763,0.71186,0.60586,0.26514,1.73894,3.38266,1.89289,0.00112625,0.00112625,0.00112625
7,1463.08,1.66933,2.0288,1.75028,0.5609,0.71186,0.58353,0.28681,1.66331,2.95234,1.77611,0.0011015,0.0011015,0.0011015
8,1676.56,1.64443,1.98086,1.7406,0.5762,0.39831,0.43092,0.19423,1.69812,3.23594,1.79348,0.00107675,0.00107675,0.00107675
9,1888.65,1.6052,1.90944,1.68306,0.6487,0.71186,0.68002,0.30483,1.73598,1.83915,1.8372,0.001052,0.001052,0.001052
10,2103.63,1.55737,1.84293,1.66021,0.65226,0.71532,0.66523,0.3063,1.6825,1.79846,1.73195,0.00102725,0.00102725,0.00102725
11,2316.53,1.60266,1.8512,1.67111,0.73112,0.76271,0.71361,0.36014,1.5432,1.67482,1.7035,0.0010025,0.0010025,0.0010025
12,2529.53,1.52435,1.66509,1.60778,0.71718,0.6447,0.73899,0.37811,1.50308,1.65843,1.64431,0.00097775,0.00097775,0.00097775
13,2745.85,1.5867,1.71119,1.67418,0.72265,0.70662,0.73874,0.3629,1.5427,1.68271,1.66942,0.000953,0.000953,0.000953
14,2960.9,1.54874,1.73564,1.63221,0.70043,0.77119,0.72771,0.33705,1.5992,1.7015,1.71571,0.00092825,0.00092825,0.00092825
15,3175.13,1.55148,1.65199,1.62855,0.67074,0.73729,0.72117,0.35304,1.54213,1.59497,1.63463,0.0009035,0.0009035,0.0009035
16,3391.04,1.47515,1.62719,1.58396,0.72301,0.72999,0.73301,0.36717,1.56888,1.50032,1.68382,0.00087875,0.00087875,0.00087875
17,3603.7,1.4938,1.54655,1.57281,0.78635,0.79661,0.77333,0.35955,1.66156,1.44532,1.75707,0.000854,0.000854,0.000854
18,3818.14,1.46801,1.52964,1.58872,0.75657,0.73747,0.77766,0.39295,1.58059,1.4279,1.67819,0.00082925,0.00082925,0.00082925
19,4031.12,1.50081,1.60896,1.59329,0.75902,0.81356,0.80023,0.37851,1.65868,1.44316,1.7131,0.0008045,0.0008045,0.0008045
20,4243.26,1.48141,1.59819,1.61521,0.65705,0.69818,0.74257,0.39158,1.54023,1.42135,1.6405,0.00077975,0.00077975,0.00077975
21,4431.35,1.37595,1.43042,1.5219,0.71461,0.79661,0.77578,0.38946,1.61358,1.44402,1.69031,0.000755,0.000755,0.000755
22,4620.65,1.42946,1.40666,1.55109,0.7469,0.83051,0.83303,0.42308,1.54734,1.28504,1.64638,0.00073025,0.00073025,0.00073025
23,4826.83,1.43009,1.40587,1.59852,0.72145,0.74629,0.79415,0.40645,1.59827,1.36131,1.70152,0.0007055,0.0007055,0.0007055
24,5103.2,1.36735,1.38199,1.52644,0.7522,0.77966,0.79122,0.41311,1.59634,1.26622,1.6937,0.00068075,0.00068075,0.00068075
25,5399.03,1.39374,1.37534,1.53225,0.72136,0.78984,0.79383,0.40429,1.5095,1.30634,1.62828,0.000656,0.000656,0.000656
26,5695.61,1.39591,1.38692,1.53553,0.80663,0.85593,0.84267,0.43552,1.49414,1.17866,1.64369,0.00063125,0.00063125,0.00063125
27,5989.79,1.34376,1.31384,1.48575,0.76401,0.85053,0.80473,0.43666,1.45498,1.21208,1.59099,0.0006065,0.0006065,0.0006065
28,6285.5,1.33087,1.28216,1.48048,0.77369,0.77966,0.80106,0.4148,1.51355,1.26621,1.63038,0.00058175,0.00058175,0.00058175
29,6557.36,1.30653,1.29025,1.47497,0.75067,0.73993,0.77757,0.4218,1.44001,1.24808,1.63767,0.000557,0.000557,0.000557
30,6729.09,1.264,1.21081,1.44099,0.72774,0.88136,0.81716,0.42857,1.51208,1.2422,1.68894,0.00053225,0.00053225,0.00053225
31,6935.63,1.27682,1.23548,1.433,0.78234,0.78814,0.8059,0.4253,1.49326,1.21458,1.60062,0.0005075,0.0005075,0.0005075
32,7145.55,1.30507,1.29253,1.46233,0.79064,0.78814,0.81372,0.45082,1.47716,1.23718,1.63026,0.00048275,0.00048275,0.00048275
33,7349.03,1.26167,1.27171,1.46507,0.82854,0.77966,0.83382,0.47539,1.4454,1.14924,1.61066,0.000458,0.000458,0.000458
34,7549.57,1.25685,1.20858,1.44499,0.79617,0.82757,0.81278,0.44664,1.4986,1.17966,1.64415,0.00043325,0.00043325,0.00043325
35,7750.61,1.2499,1.16657,1.43106,0.79121,0.83898,0.80913,0.43465,1.47648,1.15142,1.64567,0.0004085,0.0004085,0.0004085
36,7950.83,1.24237,1.1637,1.41937,0.83024,0.82897,0.80689,0.45609,1.48337,1.22347,1.63355,0.00038375,0.00038375,0.00038375
37,8151.39,1.22182,1.12985,1.41222,0.80096,0.83898,0.84256,0.4765,1.4905,1.12602,1.61133,0.000359,0.000359,0.000359
38,8352.22,1.17422,1.1014,1.37522,0.81115,0.85593,0.82842,0.47589,1.41581,1.12628,1.60891,0.00033425,0.00033425,0.00033425
39,8556.62,1.15829,1.12687,1.38553,0.77075,0.87288,0.81488,0.45194,1.47326,1.14591,1.66244,0.0003095,0.0003095,0.0003095
40,8761.73,1.1636,1.12331,1.3806,0.78903,0.85593,0.83257,0.46112,1.47533,1.11523,1.65606,0.00028475,0.00028475,0.00028475
41,8970.05,1.07355,0.91505,1.33402,0.79828,0.83051,0.83538,0.46146,1.51208,1.10896,1.69527,0.00026,0.00026,0.00026
42,9163.22,1.03719,0.88884,1.3179,0.80999,0.83092,0.83683,0.49222,1.46166,1.1191,1.61832,0.00023525,0.00023525,0.00023525
43,9329.9,0.97458,0.8472,1.27874,0.79712,0.83243,0.84336,0.48024,1.45069,1.10908,1.61672,0.0002105,0.0002105,0.0002105
44,9504.56,0.9475,0.79948,1.25358,0.81866,0.84168,0.87613,0.50397,1.44311,1.02199,1.6295,0.00018575,0.00018575,0.00018575
45,9700.3,0.91587,0.79034,1.21831,0.81357,0.83898,0.83123,0.47768,1.44645,1.0708,1.64218,0.000161,0.000161,0.000161
46,9895.52,0.91312,0.7568,1.22198,0.84676,0.84294,0.85643,0.49145,1.44021,1.02652,1.61503,0.00013625,0.00013625,0.00013625
47,10095.1,0.88222,0.73503,1.22588,0.80993,0.86441,0.84345,0.49017,1.44446,1.0387,1.64023,0.0001115,0.0001115,0.0001115
48,10317,0.86898,0.70925,1.22387,0.87368,0.8792,0.86265,0.48541,1.45152,1.04085,1.6471,8.675e-05,8.675e-05,8.675e-05
49,10537.3,0.87295,0.73139,1.2127,0.867,0.88136,0.86175,0.4894,1.44625,1.04266,1.63668,6.2e-05,6.2e-05,6.2e-05
50,10758.2,0.86202,0.70903,1.20351,0.83819,0.87803,0.84881,0.49347,1.44737,1.06633,1.64883,3.725e-05,3.725e-05,3.725e-05
