epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.792,0,112.919,0,0,0,0,0,0,237.922,0,0.0003625,0.0003625,0.0003625
2,546.143,0,93.934,0,0,0,0,0,0,179.485,0,0.000722897,0.000722897,0.000722897
3,783.309,0,83.0324,0,0,0,0,0,0,149.938,0,0.00106844,0.00106844,0.00106844
4,1031.84,0,73.8115,0,0,0,0,0,0,135.684,0,0.00117575,0.00117575,0.00117575
5,1384.57,0,64.2231,0,0,0,0,0,0,108.245,0,0.001151,0.001151,0.001151
6,1717.26,0,55.8291,0,0,0,0,0,0,104.712,0,0.00112625,0.00112625,0.00112625
7,2011.91,0,47.9701,0,0,0,0,0,0,88.5631,0,0.0011015,0.0011015,0.0011015
8,2332.78,0,41.2452,0,0,0,0,0,0,77.9602,0,0.00107675,0.00107675,0.00107675
